2026-04-01 23:17:32, 28.2°C, 17.5°C, 51.24%, 666.38 W/m2, 0.0257%, 5.34%
2026-04-02 10:43:08, 27.36°C, 19.65°C, 53.6%, 664.29 W/m2, 0.0553%, 5.85%
2026-04-08 19:03:41, 25.33°C, 17.11°C, 55.11%, 538.29 W/m2, 0.0975%, 6.58%
2026-04-08 19:03:46, 24.09°C, 9.27°C, 54.86%, 704.15 W/m2, 0.0562%, 5.73%
2026-04-08 19:03:51, 19.85°C, 18.02°C, 55.96%, 703.61 W/m2, 0.044%, 4.99%
2026-04-08 19:03:56, 23.41°C, 17.26°C, 53.47%, 667.71 W/m2, 0.0947%, 4.98%
2026-04-08 19:04:01, 28.56°C, 6.26°C, 58.84%, 517.79 W/m2, 0.0654%, 5.18%
2026-04-08 19:04:06, 19.31°C, 7.46°C, 55.34%, 505.38 W/m2, 0.0936%, 6.76%
2026-04-08 19:04:11, 19.35°C, 10.64°C, 52.6%, 527.79 W/m2, 0.0546%, 6.15%
2026-04-08 19:04:16, 20.36°C, 10.79°C, 58.33%, 642.74 W/m2, 0.0514%, 6.3%
2026-04-08 19:04:42, 22.69°C, 12.79°C, 56.69%, 554.77 W/m2, 0.065%, 5.83%
2026-04-08 19:04:47, 22.07°C, 19.68°C, 59.96%, 703.87 W/m2, 0.0929%, 5.43%
2026-04-08 19:04:52, 20.8°C, 6.34°C, 50.05%, 553.61 W/m2, 0.0788%, 6.9%
2026-04-08 19:04:57, 28.79°C, 7.59°C, 56.54%, 578.23 W/m2, 0.0996%, 6.16%
2026-04-08 19:05:02, 20.18°C, 20.2°C, 52.82%, 611.21 W/m2, 0.0594%, 6.09%
2026-04-08 19:05:07, 26.68°C, 4.83°C, 52.37%, 537.03 W/m2, 0.0697%, 5.15%
2026-04-08 19:05:12, 26.6°C, 9.11°C, 51.02%, 602.35 W/m2, 0.0752%, 5.79%
2026-04-08 19:05:17, 24.55°C, 17.21°C, 52.62%, 637.06 W/m2, 0.024%, 4.07%
2026-04-08 19:05:22, 23.71°C, 10.51°C, 58.32%, 653.15 W/m2, 0.0378%, 6.64%
2026-04-08 19:05:27, 22.48°C, 10.33°C, 51.54%, 544.05 W/m2, 0.0332%, 4.39%
2026-04-08 19:05:32, 23.23°C, 9.59°C, 54.97%, 571.18 W/m2, 0.0518%, 6.84%
2026-04-08 19:05:37, 23.22°C, 18.81°C, 59.55%, 667.22 W/m2, 0.0538%, 5.05%
2026-04-08 19:05:42, 21.04°C, 13.35°C, 56.22%, 519.5 W/m2, 0.0636%, 5.67%
2026-04-08 19:05:47, 19.17°C, 5.96°C, 50.86%, 561.95 W/m2, 0.0626%, 5.62%
2026-04-08 19:05:52, 21.19°C, 16.14°C, 50.79%, 509.98 W/m2, 0.0517%, 5.83%
2026-04-08 19:05:57, 22.37°C, 0.81°C, 59.12%, 516.92 W/m2, 0.0397%, 4.13%
2026-04-08 19:06:02, 23.1°C, 20.51°C, 57.84%, 594.36 W/m2, 0.0855%, 4.26%
2026-04-08 19:06:07, 20.35°C, 14.44°C, 54.69%, 631.83 W/m2, 0.0972%, 4.01%
2026-04-08 19:06:12, 22.14°C, 13.69°C, 59.85%, 661.89 W/m2, 0.0751%, 4.91%
2026-04-08 19:06:17, 20.93°C, 16.74°C, 59.04%, 507.08 W/m2, 0.0778%, 6.96%
2026-04-08 19:06:22, 19.58°C, 1.05°C, 58.39%, 542.7 W/m2, 0.025%, 4.22%
2026-04-08 19:06:27, 19.85°C, 20.67°C, 57.47%, 504.29 W/m2, 0.0208%, 5.99%
2026-04-08 19:06:32, 21.52°C, 20.34°C, 56.07%, 582.59 W/m2, 0.0369%, 6.41%
2026-04-08 19:06:37, 29.52°C, 2.17°C, 53.44%, 554.13 W/m2, 0.0484%, 6.17%
2026-04-08 19:06:42, 26.02°C, 19.09°C, 56.9%, 588.8 W/m2, 0.0602%, 6.79%
2026-04-08 19:06:47, 18.68°C, 7.91°C, 59.13%, 579.46 W/m2, 0.0729%, 4.77%
2026-04-08 19:06:52, 25.44°C, 19.59°C, 50.92%, 669.45 W/m2, 0.0953%, 5.67%
2026-04-08 19:06:57, 20.74°C, 20.95°C, 56.25%, 639.93 W/m2, 0.0579%, 6.17%
2026-04-08 19:07:02, 26.52°C, 18.98°C, 58.21%, 567.11 W/m2, 0.0242%, 4.42%
2026-04-08 19:07:07, 21.93°C, 19.25°C, 52.27%, 648.93 W/m2, 0.0318%, 6.31%
2026-04-08 19:07:12, 27.94°C, 16.53°C, 57.85%, 661.52 W/m2, 0.0693%, 5.74%
